0.88	2.05033	0.204999	8.47331
1	3.23217	2.93654	7.45367
0.88	2.27116	1.384	5.32211
1	7.34656	2.85936	1.30705
0.88	6.99114	1.28957	8.6729
1	0.94221	2.94407	0.890612
0.88	0.492968	7.31858	3.5902
1	7.95405	7.49198	6.11817
0.88	2.55771	9.12055	2.52935
1	0.837339	6.76932	3.01237
0.88	7.92842	2.83243	1.93582
1	1.38439	8.07917	7.58975
0.88	5.50685	4.62839	3.05671
1	1.38931	4.28835	8.31706
0.88	5.00551	3.23874	0.738328
1	2.80395	0.330545	8.03435
0.88	1.38812	9.08949	0.591623
1	0.0484686	1.47725	3.08638
0.88	2.35335	6.38332	5.68498
1	2.50096	0.821653	1.50661
0.88	4.3666	5.93481	2.80937
1	0.25275	0.547194	1.22438
0.88	0.458028	3.11019	4.49649
1	4.98257	6.94775	6.16825
0.88	4.29614	8.33157	6.05803
1	1.85402	2.41097	1.27323
0.88	9.14473	7.22017	8.73678
1	6.20486	7.38158	5.20468
0.88	8.51908	5.16177	8.45304
1	7.83239	8.97904	2.82397
0.88	8.04154	9.16475	5.75948
1	4.52075	7.61341	5.35798
0.88	5.27785	5.62332	1.18398
1	5.6402	1.16436	3.7948
0.88	8.66766	2.3804	7.37578
1	7.86662	4.2772	0.974696
0.88	4.36289	3.73377	8.97266
1	0.478005	0.530712	8.82625
0.88	5.38638	7.53132	5.68141
1	9.13637	2.09953	2.12989
0.88	0.610977	0.363758	6.56593
1	4.50148	1.2507	3.9599
0.88	2.32013	4.89946	2.9467
1	0.00591569	2.63122	1.32283
0.88	7.82021	6.32298	2.97029
1	8.05737	8.29356	5.33617
0.88	5.72612	7.74099	2.27672
1	2.18654	3.96251	0.223112
0.88	0.0634141	2.8971	2.14434
1	3.39864	7.56159	1.66199
0.88	3.47326	2.14491	7.56849
1	4.88239	5.96996	1.93059
0.88	7.63624	1.9385	1.07575
1	8.29341	5.31536	5.67867
0.88	1.4901	2.67944	9.04311
1	2.90406	6.69675	7.10928
0.88	4.80444	5.48466	8.00899
1	6.49372	3.91225	9.25572
0.88	2.31196	5.16628	4.0058
1	5.0233	5.87141	7.25599
0.88	8.1896	2.50794	3.33884
1	7.84421	5.6329	3.79697
0.88	2.28626	9.3848	9.29289
1	2.65044	1.8552	1.27927
0.88	8.8564	7.52917	0.418303
1	0.949551	8.32593	0.339835
0.88	3.48485	6.46337	7.78799
1	6.14713	4.47943	2.58463
0.88	3.00065	3.71997	3.52715
1	6.53925	6.75913	8.48858
0.88	2.49137	2.39676	5.93685
1	4.4183	0.942513	1.93317
0.88	7.54269	7.09048	0.207043
1	3.55909	8.17974	5.5381
0.88	6.7492	2.19142	1.1601
1	6.16875	6.46504	4.70835
0.88	1.96411	1.59392	1.81582
1	8.16547	4.1651	2.73065
