0.88	4.41983	8.45641	8.45641
1	6.8093	4.80999	4.80999
0.88	2.22172	1.84402	1.84402
1	0.279832	2.16048	2.16048
0.88	8.28276	6.26969	6.26969
1	1.64156	4.28405	4.28405
0.88	7.59715	5.09366	5.09366
1	6.27597	0.523299	0.523299
0.88	1.97701	7.3082	7.3082
1	5.90422	1.58985	1.58985
0.88	8.21825	8.4186	8.4186
1	8.00146	4.45458	4.45458
0.88	3.12754	3.55886	3.55886
1	7.75431	9.4054	9.4054
0.88	2.13421	1.42049	1.42049
1	4.74258	8.79291	8.79291
0.88	7.39287	5.66274	5.66274
1	4.55177	4.07277	4.07277
0.88	8.93774	5.14256	5.14256
1	6.35109	8.58285	8.58285
0.88	7.3893	3.18062	3.18062
1	2.77607	5.57836	5.57836
0.88	9.04572	7.75658	7.75658
1	7.31652	1.67159	1.67159
0.88	1.51574	5.64823	5.64823
1	2.57425	7.53648	7.53648
0.88	8.43545	7.1417	7.1417
1	7.25369	4.90716	4.90716
0.88	5.62941	6.6146	6.6146
1	5.32704	2.43566	2.43566
0.88	6.69425	7.84565	7.84565
1	6.57608	7.70788	7.70788
0.88	5.88733	3.99643	3.99643
1	6.60469	3.28265	3.28265
0.88	2.10968	0.414151	0.414151
1	2.33053	6.68992	6.68992
0.88	8.27711	0.121604	0.121604
1	3.38265	8.52086	8.52086
0.88	8.58782	3.99063	3.99063
1	7.43243	8.05715	8.05715
0.88	3.54649	6.82765	6.82765
1	5.15028	4.22489	4.22489
0.88	0.014739	2.81277	2.81277
1	1.9624	9.14301	9.14301
0.88	9.32752	8.89379	8.89379
1	4.62324	1.65745	1.65745
0.88	3.76919	8.05063	8.05063
1	6.7487	7.51214	7.51214
0.88	1.87679	3.96932	3.96932
1	0.587718	0.273598	0.273598
0.88	9.2412	5.65506	5.65506
1	6.85544	4.18271	4.18271
0.88	8.98658	5.55843	5.55843
1	0.983278	3.70887	3.70887
0.88	4.17626	5.11221	5.11221
1	2.92433	0.109485	0.109485
0.88	6.73907	4.5197	4.5197
1	5.98041	0.123324	0.123324
0.88	8.89135	0.245503	0.245503
1	5.18074	0.358336	0.358336
0.88	8.03476	1.20817	1.20817
1	3.12673	6.80319	6.80319
0.88	6.79201	1.40361	1.40361
1	4.71397	6.89308	6.89308
0.88	8.81108	8.79948	8.79948
1	4.10697	4.49993	4.49993
0.88	5.61315	3.64413	3.64413
1	0.809491	7.84426	7.84426
0.88	0.41767	5.68795	5.68795
1	5.12764	3.78213	3.78213
0.88	6.1388	6.97355	6.97355
1	4.01535	7.81614	7.81614
0.88	3.92893	2.10906	2.10906
1	8.15688	2.4066	2.4066
0.88	6.01792	3.13721	3.13721
1	1.16962	6.2502	6.2502
0.88	5.30965	7.8304	7.8304
1	7.75499	5.78408	5.78408
0.88	5.94268	4.0196	4.0196
1	1.81575	6.42119	6.42119
0.88	2.24388	2.38039	2.38039
1	3.32039	1.1122	1.1122
0.88	1.71818	4.97598	4.97598
1	7.56258	7.7616	7.7616
0.88	8.83808	3.9921	3.9921
1	4.27857	0.995993	0.995993
0.88	0.332618	3.10741	3.10741
1	4.88181	6.62877	6.62877
0.88	3.89951	5.78783	5.78783
1	4.45168	4.29768	4.29768
0.88	4.53218	3.86941	3.86941
1	7.9292	3.11717	3.11717
0.88	0.500193	4.11812	4.11812
1	7.85998	1.92961	1.92961
0.88	5.60442	0.010092	0.010092
1	7.10088	9.26697	9.26697
0.88	8.93554	5.92875	5.92875
1	9.22217	1.9835	1.9835
0.88	3.38415	7.31478	7.31478
1	3.16442	2.12399	2.12399
0.88	1.3058	1.4381	1.4381
1	0.556104	4.10669	4.10669
0.88	7.47819	2.30701	2.30701
1	1.73472	6.37875	6.37875
0.88	4.70495	7.54039	7.54039
1	7.2761	9.19811	9.19811
0.88	3.6015	3.45451	3.45451
1	0.66835	1.22291	1.22291
0.88	0.266464	5.94615	5.94615
1	6.78906	9.14889	9.14889
0.88	4.7398	5.30702	5.30702
1	6.76642	6.48609	6.48609
0.88	1.83492	8.86265	8.86265
1	8.10066	7.89793	7.89793
0.88	2.93931	6.08345	6.08345
1	3.42878	9.35224	9.35224
0.88	3.77316	8.83046	8.83046
1	4.91781	9.40615	9.40615
0.88	7.20666	0.519065	0.519065
1	0.369568	2.5625	2.5625
0.88	2.54332	4.60642	4.60642
1	8.68738	5.94024	5.94024
0.88	5.79872	7.8329	7.8329
1	2.8572	3.78905	3.78905
0.88	6.05766	0.0157293	0.0157293
1	1.35952	1.33197	1.33197
0.88	3.38536	0.641465	0.641465
1	6.59785	5.86204	5.86204
0.88	0.613284	1.01454	1.01454
1	6.92751	5.4726	5.4726
0.88	0.244557	7.9911	7.9911
1	4.26351	7.94323	7.94323
0.88	8.20076	5.31565	5.31565
1	5.41109	4.84964	4.84964
0.88	7.95097	0.266481	0.266481
1	3.65036	5.66387	5.66387
0.88	7.20269	6.16225	6.16225
1	5.7107	2.12138	2.12138
0.88	7.63325	3.72622	3.72622
1	5.88355	5.90394	5.90394
0.88	0.427359	4.91196	4.91196
1	1.64787	2.01521	2.01521
